pr_name,pr_adcode,ct_name,ct_adcode,short_name,lon,lat
北京市,110000,北京城区,110100,北京,116.627,40.25
天津市,120000,天津城区,120100,天津,117.199,39.403
河北省,130000,石家庄市,130100,石家庄,114.601,38.099
河北省,130000,唐山市,130200,唐山,118.22,39.684
河北省,130000,秦皇岛市,130300,秦皇岛,119.354,40.017
河北省,130000,邯郸市,130400,邯郸,114.419,36.532
河北省,130000,邢台市,130500,邢台,114.758,37.283
河北省,130000,保定市,130600,保定,115.329,39.093
河北省,130000,张家口市,130700,张家口,115.228,40.851
河北省,130000,承德市,130800,承德,117.182,41.403
河北省,130000,沧州市,130900,沧州,116.837,38.21
河北省,130000,廊坊市,131000,廊坊,116.53,39.047
河北省,130000,衡水市,131100,衡水,115.895,37.715
山西省,140000,太原市,140100,太原,112.156,37.939
山西省,140000,大同市,140200,大同,113.798,39.893
山西省,140000,阳泉市,140300,阳泉,113.534,38.092
山西省,140000,长治市,140400,长治,112.873,36.473
山西省,140000,晋城市,140500,晋城,112.743,35.625
山西省,140000,朔州市,140600,朔州,112.671,39.691
山西省,140000,晋中市,140700,晋中,113.095,37.371
山西省,140000,运城市,140800,运城,111.201,35.203
山西省,140000,忻州市,140900,忻州,112.389,38.898
山西省,140000,临汾市,141000,临汾,111.498,36.161
山西省,140000,吕梁市,141100,吕梁,111.33,37.733
内蒙古自治区,150000,呼和浩特市,150100,呼和浩特,111.556,40.487
内蒙古自治区,150000,包头市,150200,包头,110.546,41.489
内蒙古自治区,150000,乌海市,150300,乌海,106.801,39.475
内蒙古自治区,150000,赤峰市,150400,赤峰,118.495,43.265
内蒙古自治区,150000,通辽市,150500,通辽,122.076,43.947
内蒙古自治区,150000,鄂尔多斯市,150600,鄂尔多斯,108.494,39.247
内蒙古自治区,150000,呼伦贝尔市,150700,呼伦贝尔,121.595,50.214
内蒙古自治区,150000,巴彦淖尔市,150800,巴彦淖尔,107.438,41.313
内蒙古自治区,150000,乌兰察布市,150900,乌兰察布,112.653,41.772
内蒙古自治区,150000,兴安盟,152200,兴安,120.811,45.955
内蒙古自治区,150000,锡林郭勒盟,152500,锡林郭勒,114.33,44.172
内蒙古自治区,150000,阿拉善盟,152900,阿拉善,103.374,40.1
辽宁省,210000,沈阳市,210100,沈阳,123.022,42.119
辽宁省,210000,大连市,210200,大连,121.912,39.459
辽宁省,210000,鞍山市,210300,鞍山,122.796,40.783
辽宁省,210000,抚顺市,210400,抚顺,124.508,41.857
辽宁省,210000,本溪市,210500,本溪,124.674,41.19
辽宁省,210000,丹东市,210600,丹东,124.314,40.448
辽宁省,210000,锦州市,210700,锦州,121.528,41.452
辽宁省,210000,营口市,210800,营口,122.608,40.428
辽宁省,210000,阜新市,210900,阜新,121.891,42.265
辽宁省,210000,辽阳市,211000,辽阳,123.38,41.163
辽宁省,210000,盘锦市,211100,盘锦,122.025,41.051
辽宁省,210000,铁岭市,211200,铁岭,124.277,42.737
辽宁省,210000,朝阳市,211300,朝阳,120.146,41.491
辽宁省,210000,葫芦岛市,211400,葫芦岛,120.024,40.594
吉林省,220000,长春市,220100,长春,125.61,44.205
吉林省,220000,吉林市,220200,吉林,126.865,43.602
吉林省,220000,四平市,220300,四平,124.271,43.464
吉林省,220000,辽源市,220400,辽源,125.411,42.765
吉林省,220000,通化市,220500,通化,125.724,41.941
吉林省,220000,白山市,220600,白山,127.196,42.102
吉林省,220000,松原市,220700,松原,124.238,44.761
吉林省,220000,白城市,220800,白城,123.154,45.267
吉林省,220000,延边朝鲜族自治州,222400,延边,129.436,43.253
黑龙江省,230000,哈尔滨市,230100,哈尔滨,127.405,45.366
黑龙江省,230000,齐齐哈尔市,230200,齐齐哈尔,124.604,47.576
黑龙江省,230000,鸡西市,230300,鸡西,132.459,45.731
黑龙江省,230000,鹤岗市,230400,鹤岗,130.437,47.706
黑龙江省,230000,双鸭山市,230500,双鸭山,132.373,46.68
黑龙江省,230000,大庆市,230600,大庆,124.417,46.428
黑龙江省,230000,伊春市,230700,伊春,128.912,47.96
黑龙江省,230000,佳木斯市,230800,佳木斯,132.323,47.2
黑龙江省,230000,七台河市,230900,七台河,130.858,45.918
黑龙江省,230000,牡丹江市,231000,牡丹江,129.918,44.704
黑龙江省,230000,黑河市,231100,黑河,127.196,49.292
黑龙江省,230000,绥化市,231200,绥化,126.533,46.801
黑龙江省,230000,大兴安岭地区,232700,大兴安岭,124.531,52.231
上海市,310000,上海城区,310100,上海,121.401,31.096
江苏省,320000,南京市,320100,南京,118.738,31.924
江苏省,320000,无锡市,320200,无锡,120.34,31.552
江苏省,320000,徐州市,320300,徐州,117.797,34.344
江苏省,320000,常州市,320400,常州,119.434,31.608
江苏省,320000,苏州市,320500,苏州,120.733,31.403
江苏省,320000,南通市,320600,南通,120.929,32.164
江苏省,320000,连云港市,320700,连云港,119.051,34.554
江苏省,320000,淮安市,320800,淮安,119.115,33.407
江苏省,320000,盐城市,320900,盐城,120.081,33.528
江苏省,320000,扬州市,321000,扬州,119.56,32.82
江苏省,320000,镇江市,321100,镇江,119.438,31.976
江苏省,320000,泰州市,321200,泰州,120.035,32.578
江苏省,320000,宿迁市,321300,宿迁,118.481,33.779
浙江省,330000,杭州市,330100,杭州,119.478,29.878
浙江省,330000,宁波市,330200,宁波,121.538,29.773
浙江省,330000,温州市,330300,温州,120.352,27.877
浙江省,330000,嘉兴市,330400,嘉兴,120.785,30.649
浙江省,330000,湖州市,330500,湖州,119.999,30.778
浙江省,330000,绍兴市,330600,绍兴,120.482,29.757
浙江省,330000,金华市,330700,金华,120.002,29.105
浙江省,330000,衢州市,330800,衢州,118.795,28.87
浙江省,330000,舟山市,330900,舟山,122.132,30.063
浙江省,330000,台州市,331000,台州,120.972,28.683
浙江省,330000,丽水市,331100,丽水,119.593,28.187
安徽省,340000,合肥市,340100,合肥,117.332,31.746
安徽省,340000,芜湖市,340200,芜湖,118.278,31.092
安徽省,340000,蚌埠市,340300,蚌埠,117.413,33.111
安徽省,340000,淮南市,340400,淮南,116.771,32.456
安徽省,340000,马鞍山市,340500,马鞍山,118.288,31.677
安徽省,340000,淮北市,340600,淮北,116.703,33.692
安徽省,340000,铜陵市,340700,铜陵,117.592,30.888
安徽省,340000,安庆市,340800,安庆,116.568,30.528
安徽省,340000,黄山市,341000,黄山,117.864,29.958
安徽省,340000,滁州市,341100,滁州,117.9,32.536
安徽省,340000,阜阳市,341200,阜阳,115.465,32.996
安徽省,340000,宿州市,341300,宿州,117.321,33.964
安徽省,340000,六安市,341500,六安,116.3,31.811
安徽省,340000,亳州市,341600,亳州,116.169,33.469
安徽省,340000,池州市,341700,池州,117.356,30.205
安徽省,340000,宣城市,341800,宣城,118.704,30.636
福建省,350000,福州市,350100,福州,119.115,25.988
福建省,350000,厦门市,350200,厦门,118.151,24.664
福建省,350000,莆田市,350300,莆田,118.815,25.389
福建省,350000,三明市,350400,三明,117.515,26.305
福建省,350000,泉州市,350500,泉州,118.143,25.225
福建省,350000,漳州市,350600,漳州,117.5,24.383
福建省,350000,南平市,350700,南平,118.183,27.282
福建省,350000,龙岩市,350800,龙岩,116.69,25.204
