pr_name,pr_adcode,short_name,lon,lat
北京市,110000,北京,116.627,40.25
天津市,120000,天津,117.199,39.403
河北省,130000,河北,115.672,39.333
山西省,140000,山西,112.46,37.66
内蒙古自治区,150000,内蒙古,118.341,45.37
辽宁省,210000,辽宁,122.391,41.104
吉林省,220000,吉林,126.146,43.583
黑龙江省,230000,黑龙江,127.573,48.492
上海市,310000,上海,121.401,31.096
江苏省,320000,江苏,119.981,32.943
浙江省,330000,浙江,119.823,29.161
安徽省,340000,安徽,117.159,32.024
福建省,350000,福建,117.999,25.934
江西省,360000,江西,115.514,27.284
山东省,370000,山东,118.049,36.339
河南省,410000,河南,113.073,33.875
湖北省,420000,湖北,112.878,31.154
湖南省,430000,湖南,111.356,27.384
广东省,440000,广东,113.481,22.867
广西壮族自治区,450000,广西,108.985,23.888
海南省,460000,海南,109.603,19.163
重庆市,500000,重庆,107.867,30.184
四川省,510000,四川,102.262,30.182
贵州省,520000,贵州,106.626,26.924
云南省,530000,云南,101.267,25.185
西藏自治区,540000,西藏,87.474,31.671
陕西省,610000,陕西,109.561,35.648
甘肃省,620000,甘肃,102.898,37.695
青海省,630000,青海,95.946,35.405
宁夏回族自治区,640000,宁夏,105.961,37.31
新疆维吾尔自治区,650000,新疆,87.174,41.759
台湾省,710000,台湾,120.816,23.601
香港特别行政区,810000,香港,114.095,22.378
澳门特别行政区,820000,澳门,113.564,22.161
